epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.61078,2.08824,4.53268,2.1849,0,0,0,0,0,20.7721,0,0,0,0
2,3.11877,3.55596,4.29545,2.90663,0,0,0,0,0,20.7833,0,8.91002e-06,8.91002e-06,8.91002e-06
3,4.62735,3.32589,4.55037,2.94224,0,0,0,0,0,20.7933,0,1.74601e-05,1.74601e-05,1.74601e-05
4,6.19596,3.5199,4.35564,2.84826,0,0,0,0,0,20.8028,0,2.56502e-05,2.56502e-05,2.56502e-05
5,7.66572,2.92469,4.13394,2.61406,0,0,0,0,0,20.8127,0,3.34803e-05,3.34803e-05,3.34803e-05
6,9.06131,2.77718,4.34118,2.33696,0,0,0,0,0,20.8224,0,4.09505e-05,4.09505e-05,4.09505e-05
7,10.4202,2.82659,4.28582,2.36525,0,0,0,0,0,20.8327,0,4.80606e-05,4.80606e-05,4.80606e-05
8,11.8102,3.15624,4.24535,2.72345,0,0,0,0,0,20.8434,0,5.48109e-05,5.48109e-05,5.48109e-05
9,13.3497,3.15223,5.5191,3.83823,0,0,0,0,0,20.8537,0,6.12012e-05,6.12012e-05,6.12012e-05
10,14.783,2.52131,4.12427,2.22251,0,0,0,0,0,20.8656,0,6.72315e-05,6.72315e-05,6.72315e-05
11,16.1852,3.68763,5.13292,3.1402,0,0,0,0,0,20.8782,0,7.29018e-05,7.29018e-05,7.29018e-05
12,17.7434,3.3752,5.4204,3.15032,0,0,0,0,0,20.8937,0,7.82122e-05,7.82122e-05,7.82122e-05
13,19.0718,2.85361,4.49915,2.5459,0,0,0,0,0,20.9104,0,8.31626e-05,8.31626e-05,8.31626e-05
14,20.4109,2.22914,3.93877,2.0132,0,0,0,0,0,20.9313,0,8.7753e-05,8.7753e-05,8.7753e-05
15,21.855,2.34832,4.61497,2.66137,0,0,0,0,0,20.9546,0,9.19835e-05,9.19835e-05,9.19835e-05
16,23.3403,1.97586,3.62722,1.86388,0,0,0,0,0,20.9805,0,9.5854e-05,9.5854e-05,9.5854e-05
17,24.6622,1.97129,4.10146,2.18799,0,0,0,0,0,21.0076,0,9.93646e-05,9.93646e-05,9.93646e-05
18,25.9307,1.92971,4.18325,1.93901,0,0,0,0,0,21.0076,0,0.000102515,0.000102515,0.000102515
19,27.2203,1.61861,3.69128,1.7955,0,0,0,0,0,21.0479,0,0.000105306,0.000105306,0.000105306
