epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.36185,1.82001,4.27277,1.80843,0.00893,0.14286,0.03554,0.02081,3.21482,4.98293,2.87411,0,0,0
2,4.59427,3.86296,4.41864,3.58851,0.00649,0.14286,0.03554,0.01954,3.1925,4.92871,2.83523,8.91002e-06,8.91002e-06,8.91002e-06
3,6.86976,3.34359,4.40238,2.67276,0.00549,0.14286,0.04738,0.02211,3.15973,4.90581,2.77567,1.74601e-05,1.74601e-05,1.74601e-05
4,8.93773,3.19649,4.56708,2.57718,0.0051,0.14286,0.01421,0.01137,2.91103,4.92986,2.67204,2.56502e-05,2.56502e-05,2.56502e-05
5,10.8911,2.78771,4.13725,2.38867,0.00476,0.14286,0.07107,0.01925,2.78611,4.86849,2.54381,3.34803e-05,3.34803e-05,3.34803e-05
6,12.9577,2.78538,4.16644,2.15392,0.0042,0.14286,0.07107,0.0398,2.56087,4.7669,2.35901,4.09505e-05,4.09505e-05,4.09505e-05
7,14.7023,2.65301,4.22476,2.15438,0.00397,0.14286,0.07107,0.05686,2.50478,4.60396,2.2578,4.80606e-05,4.80606e-05,4.80606e-05
8,16.4951,2.51204,4.24174,2.1781,0.00357,0.14286,0.14214,0.12793,2.44637,4.60374,2.15399,5.48109e-05,5.48109e-05,5.48109e-05
9,18.218,4.30656,6.13923,4.18263,0.00348,0.14286,0.14214,0.12793,2.30585,4.59125,2.09894,6.12012e-05,6.12012e-05,6.12012e-05
10,20.0347,2.37598,4.05161,2.03422,0.00527,0.28571,0.14436,0.12948,2.09014,4.46985,1.94523,6.72315e-05,6.72315e-05,6.72315e-05
11,21.8086,4.19286,5.19619,3.40441,0.00527,0.28571,0.14632,0.1296,2.04596,4.39494,1.87328,7.29018e-05,7.29018e-05,7.29018e-05
12,23.6324,4.03741,7.35094,3.75966,0.00531,0.28571,0.15004,0.13109,1.98467,4.36047,1.79707,7.82122e-05,7.82122e-05,7.82122e-05
13,25.6882,2.71862,4.24282,2.61524,0.00553,0.28571,0.15399,0.13267,1.89532,4.3257,1.75296,8.31626e-05,8.31626e-05,8.31626e-05
