epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.77517,1.82001,4.27277,1.80843,0,0,0,0,0,20.7723,0,0,0,0
2,5.31133,3.86296,4.41864,3.58851,0,0,0,0,0,20.7838,0,8.91002e-06,8.91002e-06,8.91002e-06
3,6.89667,3.34359,4.40238,2.67276,0,0,0,0,0,20.7944,0,1.74601e-05,1.74601e-05,1.74601e-05
4,8.45405,3.19649,4.56708,2.57718,0,0,0,0,0,20.8054,0,2.56502e-05,2.56502e-05,2.56502e-05
5,10.2917,2.78771,4.13725,2.38867,0,0,0,0,0,20.8153,0,3.34803e-05,3.34803e-05,3.34803e-05
6,12.0457,2.78538,4.16644,2.15392,0,0,0,0,0,20.8247,0,4.09505e-05,4.09505e-05,4.09505e-05
7,13.623,2.65301,4.22476,2.15438,0,0,0,0,0,20.8338,0,4.80606e-05,4.80606e-05,4.80606e-05
8,15.1891,2.51204,4.24174,2.1781,0,0,0,0,0,20.8414,0,5.48109e-05,5.48109e-05,5.48109e-05
9,16.7994,4.30656,6.13923,4.18263,0,0,0,0,0,20.8474,0,6.12012e-05,6.12012e-05,6.12012e-05
10,19.3365,2.37598,4.05161,2.03422,0,0,0,0,0,20.8542,0,6.72315e-05,6.72315e-05,6.72315e-05
11,20.8616,4.19286,5.19619,3.40441,0,0,0,0,0,20.8605,0,7.29018e-05,7.29018e-05,7.29018e-05
12,22.8787,4.03741,7.35094,3.75966,0,0,0,0,0,20.8655,0,7.82122e-05,7.82122e-05,7.82122e-05
13,24.6725,2.71862,4.24282,2.61524,0,0,0,0,0,20.8689,0,8.31626e-05,8.31626e-05,8.31626e-05
14,26.6374,2.10204,3.84792,2.19407,0,0,0,0,0,20.8715,0,8.7753e-05,8.7753e-05,8.7753e-05
15,28.5002,2.14958,4.50274,1.98909,0,0,0,0,0,20.8744,0,9.19835e-05,9.19835e-05,9.19835e-05
