epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.58451,2.08824,4.53268,2.1849,0,0,0,0,0,20.7721,0,0,0,0
2,12.23,3.55596,4.29545,2.90663,0,0,0,0,0,20.7833,0,8.91002e-06,8.91002e-06,8.91002e-06
3,13.9702,3.32589,4.55037,2.94224,0,0,0,0,0,20.7933,0,1.74601e-05,1.74601e-05,1.74601e-05
4,15.7119,3.5199,4.35564,2.84826,0,0,0,0,0,20.8028,0,2.56502e-05,2.56502e-05,2.56502e-05
5,17.279,2.92469,4.13394,2.61406,0,0,0,0,0,20.8127,0,3.34803e-05,3.34803e-05,3.34803e-05
6,18.7768,2.77718,4.34118,2.33696,0,0,0,0,0,20.8224,0,4.09505e-05,4.09505e-05,4.09505e-05
7,20.8377,2.82659,4.28582,2.36525,0,0,0,0,0,20.8327,0,4.80606e-05,4.80606e-05,4.80606e-05
8,22.3894,3.15624,4.24535,2.72345,0,0,0,0,0,20.8434,0,5.48109e-05,5.48109e-05,5.48109e-05
9,24.0675,3.15223,5.5191,3.83823,0,0,0,0,0,20.8537,0,6.12012e-05,6.12012e-05,6.12012e-05
10,25.5655,2.52131,4.12427,2.22251,0,0,0,0,0,20.8656,0,6.72315e-05,6.72315e-05,6.72315e-05
11,27.2979,3.68763,5.13292,3.1402,0,0,0,0,0,20.8782,0,7.29018e-05,7.29018e-05,7.29018e-05
12,29.2608,3.3752,5.4204,3.15032,0,0,0,0,0,20.8937,0,7.82122e-05,7.82122e-05,7.82122e-05
13,30.7512,2.85361,4.49915,2.5459,0,0,0,0,0,20.9104,0,8.31626e-05,8.31626e-05,8.31626e-05
14,32.2694,2.22914,3.93877,2.0132,0,0,0,0,0,20.9313,0,8.7753e-05,8.7753e-05,8.7753e-05
15,33.7044,2.34832,4.61497,2.66137,0,0,0,0,0,20.9546,0,9.19835e-05,9.19835e-05,9.19835e-05
16,35.3866,1.97586,3.62722,1.86388,0,0,0,0,0,20.9805,0,9.5854e-05,9.5854e-05,9.5854e-05
17,37.1528,1.97129,4.10146,2.18799,0,0,0,0,0,21.0076,0,9.93646e-05,9.93646e-05,9.93646e-05
18,38.7365,1.92971,4.18325,1.93901,0,0,0,0,0,21.0076,0,0.000102515,0.000102515,0.000102515
19,40.2195,1.61861,3.69128,1.7955,0,0,0,0,0,21.0479,0,0.000105306,0.000105306,0.000105306
20,41.8765,2.03201,3.61646,1.77742,0,0,0,0,0,21.0479,0,0.000107736,0.000107736,0.000107736
21,43.4477,1.71297,3.48683,1.64428,0,0,0,0,0,21.0906,0,0.000109807,0.000109807,0.000109807
22,44.926,1.73616,3.53667,1.6509,0,0,0,0,0,21.0906,0,0.000111518,0.000111518,0.000111518
23,46.4172,2.00403,3.72107,1.73987,0,0,0,0,0,21.1342,0,0.000112869,0.000112869,0.000112869
24,47.8546,1.43189,3.17324,1.55486,0,0,0,0,0,21.1342,0,0.00011386,0.00011386,0.00011386
25,49.384,2.17229,3.66735,1.84469,0,0,0,0,0,21.1874,0,0.00011449,0.00011449,0.00011449
26,50.8122,2.20648,3.43628,1.76702,0,0,0,0,0,21.1874,0,0.000114761,0.000114761,0.000114761
27,52.3833,1.56566,3.47619,1.70993,0,0,0,0,0,21.249,0,0.000114672,0.000114672,0.000114672
28,53.8434,1.78473,3.95189,2.20138,0,0,0,0,0,21.249,0,0.000114223,0.000114223,0.000114223
29,55.2835,1.94535,3.59005,2.10358,0,0,0,0,0,21.3119,0,0.000113414,0.000113414,0.000113414
30,57.1338,1.4762,3.05865,1.69069,0,0,0,0,0,21.3119,0,0.000112245,0.000112245,0.000112245
31,58.9766,1.91252,3.33036,1.74404,0,0,0,0,0,21.3814,0,0.000110716,0.000110716,0.000110716
32,60.5176,1.37409,3.06465,1.48547,0,0,0,0,0,21.3814,0,0.000108827,0.000108827,0.000108827
