epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.41709,2.14043,4.27683,1.94348,0,0,0,0,0,20.772,0,0,0,0
2,2.60145,3.36411,4.34595,3.00459,0,0,0,0,0,20.7834,0,8.91002e-06,8.91002e-06,8.91002e-06
3,3.85191,3.51488,4.48584,2.81092,0,0,0,0,0,20.7939,0,1.74601e-05,1.74601e-05,1.74601e-05
4,5.05588,3.16673,4.36056,2.74618,0,0,0,0,0,20.8042,0,2.56502e-05,2.56502e-05,2.56502e-05
5,6.20211,2.56215,4.12338,2.26652,0,0,0,0,0,20.8147,0,3.34803e-05,3.34803e-05,3.34803e-05
6,7.36451,2.83456,4.35506,2.28473,0,0,0,0,0,20.8248,0,4.09505e-05,4.09505e-05,4.09505e-05
7,8.63815,2.9654,4.29604,2.51588,0,0,0,0,0,20.835,0,4.80606e-05,4.80606e-05,4.80606e-05
8,9.93927,3.21309,4.2341,2.61669,0,0,0,0,0,20.8444,0,5.48109e-05,5.48109e-05,5.48109e-05
9,11.1536,3.82855,5.7372,3.75441,0,0,0,0,0,20.8529,0,6.12012e-05,6.12012e-05,6.12012e-05
10,12.345,2.66403,4.11921,2.331,0,0,0,0,0,20.8628,0,6.72315e-05,6.72315e-05,6.72315e-05
11,13.5447,3.26653,4.93899,2.88253,0,0,0,0,0,20.872,0,7.29018e-05,7.29018e-05,7.29018e-05
12,15.1537,3.23274,6.12284,3.01963,0,0,0,0,0,20.8814,0,7.82122e-05,7.82122e-05,7.82122e-05
13,16.5764,2.91595,4.43357,2.62762,0,0,0,0,0,20.89,0,8.31626e-05,8.31626e-05,8.31626e-05
14,17.9001,1.87612,4.11356,1.84203,0,0,0,0,0,20.8999,0,8.7753e-05,8.7753e-05,8.7753e-05
15,19.1326,2.18381,4.40485,2.11231,0,0,0,0,0,20.9082,0,9.19835e-05,9.19835e-05,9.19835e-05
16,20.3717,1.91972,3.61128,1.78345,0,0,0,0,0,20.9185,0,9.5854e-05,9.5854e-05,9.5854e-05
17,21.5874,1.73988,4.2288,1.87966,0,0,0,0,0,20.9286,0,9.93646e-05,9.93646e-05,9.93646e-05
18,22.7846,1.9815,4.28372,2.13765,0,0,0,0,0,20.9286,0,0.000102515,0.000102515,0.000102515
19,23.9987,1.98778,3.74508,1.84692,0,0,0,0,0,20.951,0,0.000105306,0.000105306,0.000105306
20,25.2377,2.06715,3.60295,1.71375,0,0,0,0,0,20.951,0,0.000107736,0.000107736,0.000107736
21,26.4699,1.67646,3.47412,1.7882,0,0,0,0,0,20.9761,0,0.000109807,0.000109807,0.000109807
22,27.6559,1.6751,3.51605,1.60734,0,0,0,0,0,20.9761,0,0.000111518,0.000111518,0.000111518
23,28.8632,2.06786,3.77802,1.78774,0,0,0,0,0,21.0018,0,0.000112869,0.000112869,0.000112869
24,30.0693,1.56395,3.18737,1.58409,0,0,0,0,0,21.0018,0,0.00011386,0.00011386,0.00011386
25,31.3287,1.8888,3.6145,1.67907,0,0,0,0,0,21.0305,0,0.00011449,0.00011449,0.00011449
26,32.5551,2.009,3.47713,1.80425,0,0,0,0,0,21.0305,0,0.000114761,0.000114761,0.000114761
27,33.7779,1.47777,3.41563,1.6005,0,0,0,0,0,21.0594,0,0.000114672,0.000114672,0.000114672
28,34.9828,1.90495,4.29209,1.80788,0,0,0,0,0,21.0594,0,0.000114223,0.000114223,0.000114223
29,36.3112,1.67917,3.58036,1.77985,0,0,0,0,0,21.0831,0,0.000113414,0.000113414,0.000113414
30,37.6169,1.62081,3.06506,1.66263,0,0,0,0,0,21.0831,0,0.000112245,0.000112245,0.000112245
31,39.0339,1.69791,3.38905,1.63364,0,0,0,0,0,21.0996,0,0.000110716,0.000110716,0.000110716
32,40.2719,1.56097,3.28219,1.58689,0,0,0,0,0,21.0996,0,0.000108827,0.000108827,0.000108827
33,41.5441,1.89206,3.57667,1.81377,0,0,0,0,0,21.1159,0,0.000106578,0.000106578,0.000106578
34,42.7918,1.23876,3.03099,1.51194,0,0,0,0,0,21.1159,0,0.00010397,0.00010397,0.00010397
35,44.4134,2.02168,4.36662,2.19649,0,0,0,0,0,21.1232,0,0.000101001,0.000101001,0.000101001
36,45.832,1.19522,2.83809,1.43225,0,0,0,0,0,21.1232,0,9.76721e-05,9.76721e-05,9.76721e-05
37,47.1094,1.60084,3.3241,1.52693,0,0,0,0,0,21.1298,0,9.39833e-05,9.39833e-05,9.39833e-05
38,48.5079,1.44853,3.27138,1.61192,0,0,0,0,0,21.1298,0,8.99346e-05,8.99346e-05,8.99346e-05
39,49.8858,1.50087,3.36423,1.70226,0,0,0,0,0,21.1383,0,8.5526e-05,8.5526e-05,8.5526e-05
40,51.1368,1.41075,2.85709,1.5273,0,0,0,0,0,21.1383,0,8.07574e-05,8.07574e-05,8.07574e-05
41,52.4144,1.58052,3.45621,1.85558,0,0,0,0,0,21.1381,0,7.56288e-05,7.56288e-05,7.56288e-05
42,53.6518,2.09231,3.66409,1.93834,0,0,0,0,0,21.1381,0,7.01403e-05,7.01403e-05,7.01403e-05
43,54.9543,1.25849,3.1332,1.5237,0,0,0,0,0,21.1716,0,6.42918e-05,6.42918e-05,6.42918e-05
44,56.2499,1.25228,3.12733,1.5464,0,0,0,0,0,21.1716,0,5.80833e-05,5.80833e-05,5.80833e-05
45,57.5159,1.18076,3.01945,1.51068,0,0,0,0,0,21.1879,0,5.15148e-05,5.15148e-05,5.15148e-05
46,58.7022,1.51812,3.271,1.67709,0,0,0,0,0,21.1879,0,4.45864e-05,4.45864e-05,4.45864e-05
47,59.9361,1.52711,3.31071,1.80448,0,0,0,0,0,21.2127,0,3.72981e-05,3.72981e-05,3.72981e-05
48,61.0888,1.22153,3.09822,1.50421,0,0,0,0,0,21.2127,0,2.96498e-05,2.96498e-05,2.96498e-05
49,62.2959,1.92404,4.24205,1.93378,0,0,0,0,0,21.2509,0,2.16415e-05,2.16415e-05,2.16415e-05
50,63.6218,1.13133,2.91951,1.53301,0,0,0,0,0,21.2509,0,1.32732e-05,1.32732e-05,1.32732e-05
