epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.709365,2.25333,4.41221,1.86077,0,0,0,0,0,5.51836,0,0,0,0
2,1.2929,3.46852,4.23103,2.47118,0,0,0,0,0,5.52153,0,8.91002e-06,8.91002e-06,8.91002e-06
3,1.86176,3.38908,4.51825,2.44205,0,0,0,0,0,5.52467,0,1.74601e-05,1.74601e-05,1.74601e-05
4,2.39485,3.36177,4.41712,2.40381,0,0,0,0,0,5.52783,0,2.56502e-05,2.56502e-05,2.56502e-05
5,2.97891,2.70241,3.9969,1.91141,0,0,0,0,0,5.53093,0,3.34803e-05,3.34803e-05,3.34803e-05
6,3.49217,2.58937,4.38318,1.9856,0,0,0,0,0,5.53418,0,4.09505e-05,4.09505e-05,4.09505e-05
7,4.0005,2.75534,4.31078,2.01084,0,0,0,0,0,5.53732,0,4.80606e-05,4.80606e-05,4.80606e-05
8,4.5243,2.74079,4.31981,2.11942,0,0,0,0,0,5.54033,0,5.48109e-05,5.48109e-05,5.48109e-05
9,5.0512,3.26484,4.20062,2.99967,0,0,0,0,0,5.54344,0,6.12012e-05,6.12012e-05,6.12012e-05
10,5.56715,2.25577,4.22235,1.85305,0,0,0,0,0,5.54625,0,6.72315e-05,6.72315e-05,6.72315e-05
11,6.08292,3.0104,4.25338,2.47245,0,0,0,0,0,5.54883,0,7.29018e-05,7.29018e-05,7.29018e-05
12,6.77971,3.40553,4.43211,2.74432,0,0,0,0,0,5.55137,0,7.82122e-05,7.82122e-05,7.82122e-05
13,7.31245,2.44189,3.96818,2.10437,0,0,0,0,0,5.55377,0,8.31626e-05,8.31626e-05,8.31626e-05
14,7.86828,1.75013,3.81302,1.65898,0,0,0,0,0,5.55594,0,8.7753e-05,8.7753e-05,8.7753e-05
15,8.44517,1.75041,3.77011,1.41931,0,0,0,0,0,5.5577,0,9.19835e-05,9.19835e-05,9.19835e-05
16,9.00749,1.64386,3.81994,1.61866,0,0,0,0,0,5.55944,0,9.5854e-05,9.5854e-05,9.5854e-05
17,9.56293,1.7014,3.95986,1.54852,0,0,0,0,0,5.5614,0,9.93646e-05,9.93646e-05,9.93646e-05
18,10.0629,1.38471,3.82978,1.40873,0,0,0,0,0,5.5614,0,0.000102515,0.000102515,0.000102515
19,10.5667,1.17957,3.5999,1.37458,0,0,0,0,0,5.56686,0,0.000105306,0.000105306,0.000105306
20,11.143,1.90066,3.94773,1.46589,0,0,0,0,0,5.56686,0,0.000107736,0.000107736,0.000107736
21,11.7253,1.48678,3.76492,1.41265,0,0,0,0,0,5.57222,0,0.000109807,0.000109807,0.000109807
22,12.2399,1.7348,3.9073,1.54086,0,0,0,0,0,5.57222,0,0.000111518,0.000111518,0.000111518
23,12.7771,2.2461,4.20844,1.74866,0,0,0,0,0,5.57799,0,0.000112869,0.000112869,0.000112869
24,13.2608,1.3914,3.52949,1.39225,0,0,0,0,0,5.57799,0,0.00011386,0.00011386,0.00011386
25,13.7778,2.23116,4.11347,1.65715,0,0,0,0,0,5.5852,0,0.00011449,0.00011449,0.00011449
26,14.2549,1.83226,3.60598,1.28796,0,0,0,0,0,5.5852,0,0.000114761,0.000114761,0.000114761
27,14.7734,1.40364,3.63461,1.47422,0,0,0,0,0,5.5929,0,0.000114672,0.000114672,0.000114672
28,15.2721,1.5033,3.36163,1.48025,0,0,0,0,0,5.5929,0,0.000114223,0.000114223,0.000114223
29,15.8006,1.73815,3.35583,1.58385,0,0,0,0,0,5.60014,0,0.000113414,0.000113414,0.000113414
30,16.4386,1.44528,3.49243,1.36846,0,0,0,0,0,5.60014,0,0.000112245,0.000112245,0.000112245
31,16.9475,1.29503,3.60099,1.30916,0,0,0,0,0,5.60812,0,0.000110716,0.000110716,0.000110716
32,17.4275,1.49659,3.31464,1.31072,0,0,0,0,0,5.60812,0,0.000108827,0.000108827,0.000108827
33,17.9511,1.33903,3.30198,1.18907,0,0,0,0,0,5.61858,0,0.000106578,0.000106578,0.000106578
34,18.4383,1.06016,3.19334,1.34807,0,0,0,0,0,5.61858,0,0.00010397,0.00010397,0.00010397
35,18.957,1.44758,3.36056,1.21861,0,0,0,0,0,5.6298,0,0.000101001,0.000101001,0.000101001
36,19.4473,1.14817,3.10361,1.27918,0,0,0,0,0,5.6298,0,9.76721e-05,9.76721e-05,9.76721e-05
37,19.9878,2.09473,3.46688,1.47624,0,0,0,0,0,5.64766,0,9.39833e-05,9.39833e-05,9.39833e-05
38,20.5158,1.17928,3.01207,1.3755,0,0,0,0,0,5.64766,0,8.99346e-05,8.99346e-05,8.99346e-05
39,21.033,1.17042,3.15677,1.29362,0,0,0,0,0,5.66698,0,8.5526e-05,8.5526e-05,8.5526e-05
40,21.5616,1.53919,3.45739,1.45284,0,0,0,0,0,5.66698,0,8.07574e-05,8.07574e-05,8.07574e-05
41,22.1047,1.21867,2.95217,1.37432,0,0,0,0,0,5.68822,0,7.56288e-05,7.56288e-05,7.56288e-05
42,22.5901,2.01438,3.29167,1.48104,0,0,0,0,0,5.68822,0,7.01403e-05,7.01403e-05,7.01403e-05
