epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.9584,2.08824,4.53268,2.1849,0,0,0,0,0,20.7721,0,0,0,0
2,3.45167,3.55596,4.29545,2.90663,0,0,0,0,0,20.7833,0,8.91002e-06,8.91002e-06,8.91002e-06
3,5.00886,3.32589,4.55037,2.94224,0,0,0,0,0,20.7933,0,1.74601e-05,1.74601e-05,1.74601e-05
4,7.30898,3.5199,4.35564,2.84826,0,0,0,0,0,20.8028,0,2.56502e-05,2.56502e-05,2.56502e-05
5,9.04016,2.92469,4.13394,2.61406,0,0,0,0,0,20.8127,0,3.34803e-05,3.34803e-05,3.34803e-05
6,10.683,2.77718,4.34118,2.33696,0,0,0,0,0,20.8224,0,4.09505e-05,4.09505e-05,4.09505e-05
7,12.4686,2.82659,4.28582,2.36525,0,0,0,0,0,20.8327,0,4.80606e-05,4.80606e-05,4.80606e-05
8,14.3983,3.15624,4.24535,2.72345,0,0,0,0,0,20.8434,0,5.48109e-05,5.48109e-05,5.48109e-05
9,16.3854,3.15223,5.5191,3.83823,0,0,0,0,0,20.8537,0,6.12012e-05,6.12012e-05,6.12012e-05
10,18.4347,2.52131,4.12427,2.22251,0,0,0,0,0,20.8656,0,6.72315e-05,6.72315e-05,6.72315e-05
11,20.2577,3.68763,5.13292,3.1402,0,0,0,0,0,20.8782,0,7.29018e-05,7.29018e-05,7.29018e-05
12,22.4367,3.3752,5.4204,3.15032,0,0,0,0,0,20.8937,0,7.82122e-05,7.82122e-05,7.82122e-05
13,24.0813,2.85361,4.49915,2.5459,0,0,0,0,0,20.9104,0,8.31626e-05,8.31626e-05,8.31626e-05
14,25.8555,2.22914,3.93877,2.0132,0,0,0,0,0,20.9313,0,8.7753e-05,8.7753e-05,8.7753e-05
15,27.4968,2.34832,4.61497,2.66137,0,0,0,0,0,20.9546,0,9.19835e-05,9.19835e-05,9.19835e-05
16,29.1528,1.97586,3.62722,1.86388,0,0,0,0,0,20.9805,0,9.5854e-05,9.5854e-05,9.5854e-05
17,30.8784,1.97129,4.10146,2.18799,0,0,0,0,0,21.0076,0,9.93646e-05,9.93646e-05,9.93646e-05
18,33.0496,1.92971,4.18325,1.93901,0,0,0,0,0,21.0076,0,0.000102515,0.000102515,0.000102515
19,34.8096,1.61861,3.69128,1.7955,0,0,0,0,0,21.0479,0,0.000105306,0.000105306,0.000105306
20,36.4273,2.03201,3.61646,1.77742,0,0,0,0,0,21.0479,0,0.000107736,0.000107736,0.000107736
21,38.3487,1.71297,3.48683,1.64428,0,0,0,0,0,21.0906,0,0.000109807,0.000109807,0.000109807
22,39.9132,1.73616,3.53667,1.6509,0,0,0,0,0,21.0906,0,0.000111518,0.000111518,0.000111518
23,41.5611,2.00403,3.72107,1.73987,0,0,0,0,0,21.1342,0,0.000112869,0.000112869,0.000112869
24,43.478,1.43189,3.17324,1.55486,0,0,0,0,0,21.1342,0,0.00011386,0.00011386,0.00011386
25,45.1161,2.17229,3.66735,1.84469,0,0,0,0,0,21.1874,0,0.00011449,0.00011449,0.00011449
26,46.8194,2.20648,3.43628,1.76702,0,0,0,0,0,21.1874,0,0.000114761,0.000114761,0.000114761
27,48.3938,1.56566,3.47619,1.70993,0,0,0,0,0,21.249,0,0.000114672,0.000114672,0.000114672
28,49.8761,1.78473,3.95189,2.20138,0,0,0,0,0,21.249,0,0.000114223,0.000114223,0.000114223
29,51.4257,1.94535,3.59005,2.10358,0,0,0,0,0,21.3119,0,0.000113414,0.000113414,0.000113414
30,52.8483,1.4762,3.05865,1.69069,0,0,0,0,0,21.3119,0,0.000112245,0.000112245,0.000112245
31,54.4604,1.91252,3.33036,1.74404,0,0,0,0,0,21.3814,0,0.000110716,0.000110716,0.000110716
32,55.8969,1.37409,3.06465,1.48547,0,0,0,0,0,21.3814,0,0.000108827,0.000108827,0.000108827
33,57.5828,1.55364,3.51273,1.7508,0,0,0,0,0,21.4598,0,0.000106578,0.000106578,0.000106578
34,59.0144,1.26839,3.03168,1.53832,0,0,0,0,0,21.4598,0,0.00010397,0.00010397,0.00010397
35,60.6458,2.16323,4.25911,2.19615,0,0,0,0,0,21.5351,0,0.000101001,0.000101001,0.000101001
36,62.5084,1.38809,2.87517,1.5375,0,0,0,0,0,21.5351,0,9.76721e-05,9.76721e-05,9.76721e-05
37,64.0753,1.77991,3.10096,1.53326,0,0,0,0,0,21.6127,0,9.39833e-05,9.39833e-05,9.39833e-05
38,65.6117,1.29503,3.28644,1.54411,0,0,0,0,0,21.6127,0,8.99346e-05,8.99346e-05,8.99346e-05
39,67.3816,1.45481,3.08227,1.62369,0,0,0,0,0,21.6922,0,8.5526e-05,8.5526e-05,8.5526e-05
40,68.7871,1.34044,2.87217,1.45074,0,0,0,0,0,21.6922,0,8.07574e-05,8.07574e-05,8.07574e-05
41,70.2562,1.69846,3.43709,1.86248,0,0,0,0,0,21.7495,0,7.56288e-05,7.56288e-05,7.56288e-05
42,71.713,1.98133,3.67592,1.89957,0,0,0,0,0,21.7495,0,7.01403e-05,7.01403e-05,7.01403e-05
43,73.3303,1.42573,2.99112,1.54336,0,0,0,0,0,21.9112,0,6.42918e-05,6.42918e-05,6.42918e-05
44,74.9468,1.48904,2.93702,1.62449,0,0,0,0,0,21.9112,0,5.80833e-05,5.80833e-05,5.80833e-05
45,76.7182,1.76144,2.985,1.82069,0,0,0,0,0,21.9932,0,5.15148e-05,5.15148e-05,5.15148e-05
46,78.2707,1.71798,3.03325,1.56204,0,0,0,0,0,21.9932,0,4.45864e-05,4.45864e-05,4.45864e-05
47,79.702,1.62904,3.35635,1.77369,0,0,0,0,0,22.1018,0,3.72981e-05,3.72981e-05,3.72981e-05
48,81.0863,1.60082,3.05084,1.67966,0,0,0,0,0,22.1018,0,2.96498e-05,2.96498e-05,2.96498e-05
49,82.6556,1.82866,3.95125,1.85268,0,0,0,0,0,22.2563,0,2.16415e-05,2.16415e-05,2.16415e-05
50,84.2525,1.4827,3.05521,1.58113,0,0,0,0,0,22.2563,0,1.32732e-05,1.32732e-05,1.32732e-05
