epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.668655,3.75734,4.52446,3.30934,0,0,0,0,0,5.51839,0,0,0,0
2,1.15655,3.17366,4.40541,2.62708,0,0,0,0,0,5.52148,0,8.91002e-06,8.91002e-06,8.91002e-06
3,1.61318,3.9669,4.57614,3.24309,0,0,0,0,0,5.52445,0,1.74601e-05,1.74601e-05,1.74601e-05
4,2.06109,3.8228,4.56578,2.97914,0,0,0,0,0,5.52713,0,2.56502e-05,2.56502e-05,2.56502e-05
5,2.54633,3.51181,4.23252,2.61379,0,0,0,0,0,5.52984,0,3.34803e-05,3.34803e-05,3.34803e-05
6,3.01547,4.22871,4.58316,3.14748,0,0,0,0,0,5.53263,0,4.09505e-05,4.09505e-05,4.09505e-05
7,3.48295,3.84774,4.43551,2.95912,0,0,0,0,0,5.53522,0,4.80606e-05,4.80606e-05,4.80606e-05
8,3.93241,3.55991,4.45708,2.89245,0,0,0,0,0,5.53786,0,5.48109e-05,5.48109e-05,5.48109e-05
9,4.41548,4.01106,4.34597,3.28236,0,0,0,0,0,5.5405,0,6.12012e-05,6.12012e-05,6.12012e-05
10,4.92026,3.30622,4.51952,2.84871,0,0,0,0,0,5.54307,0,6.72315e-05,6.72315e-05,6.72315e-05
11,5.42618,3.82635,4.28522,3.19073,0,0,0,0,0,5.54556,0,7.29018e-05,7.29018e-05,7.29018e-05
12,6.08819,4.22457,4.51821,3.12885,0,0,0,0,0,5.54803,0,7.82122e-05,7.82122e-05,7.82122e-05
13,6.61326,3.27619,3.9359,2.86336,0,0,0,0,0,5.55016,0,8.31626e-05,8.31626e-05,8.31626e-05
14,7.17406,2.96891,4.14546,2.60058,0,0,0,0,0,5.55261,0,8.7753e-05,8.7753e-05,8.7753e-05
15,7.73875,2.68212,4.21607,2.63169,0,0,0,0,0,5.55518,0,9.19835e-05,9.19835e-05,9.19835e-05
16,8.30373,2.68793,3.94849,2.48418,0,0,0,0,0,5.55797,0,9.5854e-05,9.5854e-05,9.5854e-05
17,8.85745,2.71367,4.4618,2.46283,0,0,0,0,0,5.56123,0,9.93646e-05,9.93646e-05,9.93646e-05
18,9.39881,2.28243,4.12714,2.17215,0,0,0,0,0,5.56123,0,0.000102515,0.000102515,0.000102515
19,9.98053,2.48991,3.92494,2.32523,0,0,0,0,0,5.56821,0,0.000105306,0.000105306,0.000105306
20,10.4678,2.8347,4.18611,2.31602,0,0,0,0,0,5.56821,0,0.000107736,0.000107736,0.000107736
21,11.087,2.54693,3.96643,2.21122,0,0,0,0,0,5.5762,0,0.000109807,0.000109807,0.000109807
22,11.5922,2.45068,3.90083,2.053,0,0,0,0,0,5.5762,0,0.000111518,0.000111518,0.000111518
23,12.0648,3.32098,4.12687,2.31723,0,0,0,0,0,5.58505,0,0.000112869,0.000112869,0.000112869
24,12.5155,2.23255,3.71455,1.99404,0,0,0,0,0,5.58505,0,0.00011386,0.00011386,0.00011386
25,13.0125,3.02826,4.15855,2.3524,0,0,0,0,0,5.59456,0,0.00011449,0.00011449,0.00011449
