epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.691769,1.94922,4.1907,1.76654,0,0,0,0,0,5.51825,0,0,0,0
2,1.23658,3.20777,4.11841,2.36607,0,0,0,0,0,5.52168,0,8.91002e-06,8.91002e-06,8.91002e-06
3,1.91094,3.31368,4.51674,2.37998,0,0,0,0,0,5.52501,0,1.74601e-05,1.74601e-05,1.74601e-05
4,2.44752,3.01168,4.30157,2.23937,0,0,0,0,0,5.52813,0,2.56502e-05,2.56502e-05,2.56502e-05
5,2.94977,2.62357,4.07449,1.88754,0,0,0,0,0,5.53124,0,3.34803e-05,3.34803e-05,3.34803e-05
6,3.51692,3.18581,4.25682,2.16353,0,0,0,0,0,5.53438,0,4.09505e-05,4.09505e-05,4.09505e-05
7,4.02121,2.84058,4.09416,1.86793,0,0,0,0,0,5.53733,0,4.80606e-05,4.80606e-05,4.80606e-05
8,4.50595,2.89466,4.24629,2.21786,0,0,0,0,0,5.54011,0,5.48109e-05,5.48109e-05,5.48109e-05
9,4.97003,3.84021,4.29781,3.23533,0,0,0,0,0,5.54294,0,6.12012e-05,6.12012e-05,6.12012e-05
10,5.47534,3.02802,4.26247,2.29516,0,0,0,0,0,5.54546,0,6.72315e-05,6.72315e-05,6.72315e-05
11,5.96761,2.89194,4.07565,2.32184,0,0,0,0,0,5.54801,0,7.29018e-05,7.29018e-05,7.29018e-05
12,6.62613,3.44165,4.40888,2.71229,0,0,0,0,0,5.55069,0,7.82122e-05,7.82122e-05,7.82122e-05
13,7.16006,2.41592,3.97872,2.00597,0,0,0,0,0,5.55315,0,8.31626e-05,8.31626e-05,8.31626e-05
14,7.66387,2.1841,3.90889,1.73877,0,0,0,0,0,5.55579,0,8.7753e-05,8.7753e-05,8.7753e-05
15,8.15017,2.42366,3.82062,1.84566,0,0,0,0,0,5.55818,0,9.19835e-05,9.19835e-05,9.19835e-05
16,8.64729,1.96931,3.78944,1.73587,0,0,0,0,0,5.5606,0,9.5854e-05,9.5854e-05,9.5854e-05
17,9.14463,1.94006,4.16709,1.77965,0,0,0,0,0,5.56307,0,9.93646e-05,9.93646e-05,9.93646e-05
18,9.59288,1.59334,3.82805,1.50154,0,0,0,0,0,5.56307,0,0.000102515,0.000102515,0.000102515
